order_id,order_date,customer_id,region,segment,product,category,quantity,unit_price,discount,revenue,profit
SO-000001,2024-09-13,CUST-00185,North America,SMB,SF Analytics Suite,Software,12,9968.85,0.1,107663.58,50799.0
SO-000002,2024-11-08,CUST-00321,North America,Enterprise,SF Training Bundle,Training,2,2349.05,0,4698.1,1404.9
SO-000003,2025-05-03,CUST-00110,North America,SMB,SF Analytics Suite,Software,5,9766.99,0.05,46393.2,27819.53
SO-000004,2025-12-13,CUST-00005,North America,Mid-Market,SF Data Connect,Software,4,6190.81,0.05,23525.08,11714.48
SO-000005,2024-08-22,CUST-00037,North America,Mid-Market,SF AI Assistant,Software,3,12830.75,0,38492.25,21433.99
SO-000006,2024-11-02,CUST-00452,EMEA,Enterprise,SF Mobile Suite,Software,13,7033.25,0.15,77717.41,38724.45
SO-000007,2024-05-26,CUST-00347,North America,Mid-Market,SF Analytics Suite,Software,17,9680.38,0.1,148109.81,75289.83
SO-000008,2026-01-09,CUST-00180,APAC,Mid-Market,SF DevOps Toolkit,Software,21,4512.82,0.2,75815.38,49676.11
SO-000009,2024-08-10,CUST-00227,North America,SMB,SF Analytics Suite,Software,4,8474.04,0,33896.16,23464.72
SO-000010,2025-03-15,CUST-00180,APAC,Mid-Market,SF Data Connect,Software,5,4991.41,0.1,22461.35,12031.52
SO-000011,2025-09-06,CUST-00308,North America,Mid-Market,SF Training Bundle,Training,5,2245.14,0.25,8419.27,2402.56
SO-000012,2025-11-05,CUST-00434,North America,SMB,SF Security Pro,Software,7,7841.53,0.05,52146.17,36400.59
SO-000013,2025-10-23,CUST-00152,APAC,Government,SF Cloud Platform,Software,8,17972.39,0,143779.12,88764.1
SO-000014,2024-03-13,CUST-00305,North America,Mid-Market,SF Standard Support,Support,1,2062.92,0.25,1547.19,651.82
SO-000015,2025-08-05,CUST-00441,North America,Enterprise,SF AI Assistant,Software,12,12166.88,0,146002.56,88781.2
SO-000016,2024-03-15,CUST-00395,North America,SMB,SF Cloud Platform,Software,19,15664.68,0,297628.92,139273.59
SO-000017,2026-03-19,CUST-00031,EMEA,Enterprise,SF AI Assistant,Software,17,11231.36,0.15,162293.15,114304.81
SO-000018,2025-12-19,CUST-00217,EMEA,Enterprise,SF AI Assistant,Software,3,12505.93,0.05,35641.9,17985.66
SO-000019,2024-11-13,CUST-00043,North America,SMB,SF Analytics Suite,Software,17,10699.64,0.3,127325.72,64362.84
SO-000020,2025-02-04,CUST-00168,North America,Mid-Market,SF Implementation,Services,1,14145.76,0.05,13438.47,4743.97
SO-000021,2024-02-29,CUST-00123,North America,Enterprise,SF DevOps Toolkit,Software,3,4735.03,0,14205.09,9290.08
SO-000022,2024-11-12,CUST-00029,EMEA,SMB,SF Migration Services,Services,2,19488.32,0.15,33130.14,10443.45
SO-000023,2025-05-23,CUST-00084,APAC,Mid-Market,SF Data Connect,Software,17,5427.9,0.2,73819.44,39807.52
SO-000024,2024-05-09,CUST-00191,North America,Enterprise,SF Training Bundle,Training,3,2567.71,0,7703.13,3543.28
SO-000025,2026-04-06,CUST-00172,North America,Government,SF AI Assistant,Software,9,12085.88,0,108772.92,83960.89
SO-000026,2024-03-19,CUST-00322,North America,SMB,SF Premium Support,Support,15,3611.64,0,54174.6,33659.98
SO-000027,2025-01-11,CUST-00086,APAC,Mid-Market,SF Mobile Suite,Software,9,7032.99,0.2,50637.53,34134.21
SO-000028,2024-08-21,CUST-00060,North America,Enterprise,SF Training Bundle,Training,5,2041.85,0.2,8167.4,2306.94
SO-000029,2025-04-28,CUST-00024,APAC,Mid-Market,SF Data Connect,Software,13,6080.77,0,79050.01,60640.15
SO-000030,2025-07-20,CUST-00019,North America,Enterprise,SF Certification Prep,Training,4,825.62,0,3302.48,1529.61
SO-000031,2024-10-04,CUST-00164,APAC,Enterprise,SF Analytics Suite,Software,19,9137.5,0.05,164931.88,123390.62
SO-000032,2024-08-16,CUST-00092,North America,Government,SF Certification Prep,Training,5,1029.98,0.25,3862.42,1134.72
SO-000033,2024-10-16,CUST-00239,APAC,Enterprise,SF Certification Prep,Training,3,853.37,0.1,2304.1,648.82
SO-000034,2024-10-25,CUST-00103,APAC,SMB,SF Implementation,Services,3,16078.09,0,48234.27,12793.71
SO-000035,2025-05-20,CUST-00498,EMEA,Enterprise,SF Certification Prep,Training,2,962.77,0.05,1829.26,803.4
SO-000036,2024-01-07,CUST-00078,EMEA,Mid-Market,SF AI Assistant,Software,1,11038.79,0,11038.79,8034.71
SO-000037,2024-01-10,CUST-00450,EMEA,Enterprise,SF Data Connect,Software,1,5819.47,0.05,5528.5,3841.63
